ID,title,authors
seswm2018_paper_1,Inner Source in Platform-Based Product Engineering,Dirk Riehle, Maximilian Capraro, Detlef Kips and Lars Horn
seswm2018_paper_2,Empirical Evaluation of a domain-specific language for high-performance marine ecosystem simulation,Arne Johanson and Wilhelm Hasselbring
seswm2018_paper_3,Searching for Common Ground: Existing Literature on Automotive Agile Software Product Lines,Philipp Hohl, Javad Ghofrani, Juergen Muench, Michael Stupperich and Kurt Schneider
seswm2018_paper_29,Integrating BPMN- and UML-based Security Engineering via Model Transformation,Qusai Ramadan, Mattia Salnitri, Daniel Strüber, Jan Jürjens and Paolo Giorgini
seswm2018_paper_30,Transformation of Software Product Lines: A Generalizing Framework based on Category Theory,Gabriele Taentzer, Rick Salay, Daniel Strüber and Marsha Chechik
seswm2018_paper_31,Clone Detection for Rule-Based Model Transformation Languages,Daniel Strüber, Vlad Acretoaie and Jennifer Plöger
seswm2018_paper_33,A framework for capturing, statistically modeling and analyzing the evolution of software models,Hamed Shariat Yazdi, Lefteris Angelis, Timo Kehrer and Udo Kelter
seswm2018_paper_36,Detecting Information Flow by Mutating Input Data,Björn Mathis, Vitalii Avdiienko, Ezekiel Soremekun, Marcel Böhme and Andreas Zeller
seswm2018_paper_37,Wo ist der Fehler und wie wird er behoben? Ein Experiment mit Softwareentwicklern.,Marcel Böhme, Ezekiel Soremekun, Sudipta Chattopadhyay, Emamurho Ugherughe and Andreas Zeller
seswm2018_paper_39,Hybrid Software and System Development in Practice: Waterfall, Scrum, and Beyond,Marco Kuhrmann, Philipp Diebold, Juergen Muench, Paolo Tell, Vahid Garousi, Michael Felderer, Kitija Trektere, Fergal Mc Caffery, Oliver Linssen, Eckhart Hanser and Christian Prause
seswm2018_paper_40,Requirements Engineering Challenges in Large-Scale Agile System Development,Rashidah Kasauli, Grischa Liebel, Eric Knauss, Swathi Gopakumar and Benjamin Kanagwa
seswm2018_paper_41,LoCo CoCo: Automatically Constructing Coordination and Communication Networks from Model-Based Systems Engineering Data,Mazen Mohamad, Grischa Liebel and Eric Knauss
seswm2018_paper_43,Symbolic Execution for Realizability-Checking of Scenario-based Specifications,Joel Greenyer and Timo Gutjahr
seswm2018_paper_52,Architecture-Aware Online Failure Prediction for Distributed Software Systems,Teerat Pitakrat, Dušan Okanović, André van Hoorn and Lars Grunske
seswm2018_paper_54,Neural Efficiency of Top-Down Program Comprehension,Norman Peitek, Janet Siegmund, Chris Parnin, Sven Apel, Johannes Hofmeister, Christian Kästner, Andrew Begel, Anja Bethmann and André Brechmann
seswm2018_paper_57,PEoPL: Projectional Editing of Product Lines,Benjamin Behringer, Jochen Palz and Thorsten Berger
seswm2018_paper_58,Introducing Traceability and Consistency Checking for Change Impact Analysis across Engineering Tools in an Automation Solution Company,Alexander Egyed, Andreas Demuth, Roland Kretschmer, Davy Maes, Georgio Kanakis and Michael Tröls
seswm2018_paper_59,Efficiency of Projectional Editing,Thorsten Berger, Markus Voelter, Hans Peter Jensen, Taweesap Dangprasert and Janet Siegmund
seswm2018_paper_60,Guidelines for using empirical studies in software engineering education,Fabian Fagerholm, Marco Kuhrmann and Juergen Muench
seswm2018_paper_61,Reporting on a Survey on Approaches to Co-Evolution of Metamodels and Models,Regina Hebig, Djamel Eddine Khelladi and Reda Bendraou
